iter	Passed	Remaining
0	145	145805
1	146	73147
2	147	48934
3	147	36819
4	148	29523
5	148	24683
6	149	21218
7	150	18622
8	150	16609
9	151	14996
10	152	13673
11	152	12568
12	153	11640
13	153	10842
14	154	10155
15	155	9552
16	156	9021
17	156	8543
18	157	8116
19	157	7736
20	158	7388
21	159	7071
22	159	6783
23	160	6518
24	160	6275
25	161	6052
26	162	5845
27	162	5650
28	163	5470
29	163	5301
30	164	5143
31	165	4997
32	165	4857
33	166	4726
34	166	4603
35	167	4486
36	168	4377
37	168	4270
38	169	4175
39	170	4082
40	170	3993
41	171	3914
42	172	3838
43	173	3760
44	173	3686
45	174	3617
46	175	3549
47	175	3486
48	176	3424
49	177	3363
50	177	3305
51	178	3249
52	178	3197
53	179	3146
54	180	3096
55	180	3045
56	181	2998
57	181	2953
58	182	2909
59	183	2872
60	184	2840
61	185	2801
62	186	2767
63	186	2731
64	187	2695
65	188	2660
66	188	2627
67	189	2594
68	189	2562
69	190	2531
70	191	2500
71	191	2470
72	192	2441
73	192	2414
74	193	2388
75	194	2362
76	194	2336
77	195	2311
78	196	2286
79	196	2262
80	197	2240
81	198	2221
82	199	2200
83	199	2179
84	200	2159
85	201	2138
86	201	2118
87	202	2095
88	202	2075
89	203	2057
90	204	2038
91	204	2020
92	205	2002
93	205	1984
94	206	1967
95	207	1951
96	207	1935
97	208	1918
98	209	1902
99	209	1887
100	210	1871
101	210	1857
102	211	1841
103	212	1828
104	213	1816
105	213	1800
106	214	1788
107	215	1776
108	215	1760
109	216	1747
110	216	1735
111	217	1723
112	218	1712
113	218	1700
114	219	1689
115	220	1677
116	220	1666
117	221	1654
118	222	1643
119	222	1633
120	223	1622
121	223	1611
122	224	1601
123	225	1591
124	225	1581
125	226	1571
126	227	1562
127	228	1554
128	228	1545
129	229	1535
130	230	1526
131	230	1516
132	231	1507
133	231	1498
134	232	1489
135	232	1480
136	233	1471
137	234	1462
138	234	1453
139	235	1446
140	236	1438
141	236	1430
142	237	1422
143	238	1415
144	238	1407
145	239	1399
146	239	1392
147	240	1384
148	241	1377
149	241	1370
150	242	1365
151	243	1360
152	244	1353
153	245	1346
154	245	1339
155	246	1332
156	246	1325
157	247	1318
158	248	1311
159	248	1305
160	249	1298
161	249	1292
162	250	1286
163	251	1280
164	251	1273
165	252	1267
166	252	1261
167	253	1255
168	254	1249
169	254	1243
170	255	1238
171	256	1232
172	257	1230
173	258	1225
174	258	1220
175	259	1214
176	260	1209
177	260	1203
178	261	1198
179	261	1193
180	262	1187
181	263	1182
182	263	1177
183	264	1172
184	264	1167
185	265	1162
186	266	1157
187	266	1152
188	267	1147
189	267	1142
190	268	1137
191	269	1132
192	269	1127
193	270	1122
194	270	1117
195	271	1113
196	272	1110
197	273	1106
198	273	1101
199	274	1097
200	274	1092
201	275	1088
202	276	1083
203	276	1079
204	277	1075
205	277	1070
206	278	1067
207	279	1062
208	279	1058
209	280	1054
210	280	1050
211	281	1046
212	282	1042
213	282	1038
214	283	1034
215	284	1031
216	284	1027
217	285	1023
218	285	1019
219	286	1016
220	287	1013
221	288	1009
222	288	1006
223	289	1002
224	290	999
225	290	995
226	291	992
227	292	988
228	292	985
229	293	982
230	294	978
231	294	975
232	295	971
